Title,Test Interactions,Food Interactions
Edaravone (Lexi-Drugs),,"A high-fat meal decreased Cmax and AUC by 82% and 61%, respectively, compared to the fasted state. Management: Must be taken on an empty stomach following fasting schedule.

"
Factor IX (Recombinant [Fc Fusion Protein]) (Lexi-Drugs),,
Conivaptan (Lexi-Drugs),,
Glucagon (Pediatric and Neonatal Lexi-Drugs),,"Glucagon depletes glycogen stores.

"
MitoMYcin (Ophthalmic) (Lexi-Drugs),,
Alteplase (Lexi-Drugs),"Altered results of coagulation and fibrinolytic activity tests

",
Remimazolam (Lexi-Drugs),,
Sodium Nitrite and Sodium Thiosulfate (Lexi-Drugs),,
Nelarabine (Pediatric and Neonatal Lexi-Drugs),,
"Plasminogen Activator Inhibitor 1 Activity, Plasma (Lab Tests and Diagnostic Procedures)",,
Fludarabine-Cyclophosphamide-Rituximab  (CLL) (Lexi-Drugs),,
DiphenhydrAMINE (Topical) (Lexi-Drugs),"May suppress the wheal and flare reactions to skin test antigens

",
Ganciclovir (Systemic) (Lexi-Drugs),,
"Hyoscyamine, Atropine, Scopolamine, and Phenobarbital (Geriatric Lexi-Drugs)",,
Fenoldopam (Lexi-Drugs),,
Temsirolimus (Lexi-Drugs),,"Grapefruit and grapefruit juice may increase the levels/effects of sirolimus. Management: Avoid grapefruit and grapefruit juice.

"
Ceftazidime and Avibactam (Lexi-Drugs),"Ceftazidime: Positive direct Coomb. False-positive reaction for urine glucose with certain methods; use glucose tests based on enzymatic glucose oxidase reactions.

",
Gadodiamide (Lexi-Drugs),"Transitory changes in serum iron have been observed. May interfere with colorimetric tests for serum calcium (apparent decrease); alternate testing method is recommended for 12-24 hours after administration.

",
Antivenin (Latrodectus mactans) (Lexi-Drugs),,
Erythromycin (Systemic) (Lexi-Drugs),"False-positive urinary catecholamines (fluorometric assay), 17-hydroxycorticosteroids and 17-ketosteroids

","

Food: Erythromycin serum levels may be altered if taken with food (formulation-dependent). GI upset, including diarrhea, is common.

Management: May be taken with food to decrease GI upset, otherwise take around-the-clock with a full glass of water. Do not give with milk or acidic beverages (eg, soda, juice).

"
Cetirizine (Systemic) (Lexi-Drugs),"May cause false-positive serum TCA screen. May suppress the wheal and flare reactions to skin test antigens.

","Cetirizine's absorption and maximal concentration are reduced when taken with food. Management: May be taken without regard to meals.

"
Moxifloxacin (Ophthalmic) (Lexi-Drugs),,
CloNIDine (Lexi-Drugs),"Positive Coombs' test; may lead to false-positive aldosterone/renin ratio (Funder 2016)

",
Ofatumumab (Lexi-Drugs),,
InFLIXimab (Lexi-Drugs),,
Dolasetron (Lexi-Drugs),,
Ferumoxytol (Lexi-Drugs),"May interfere with MR imaging; alterations may persist for ≤3 months following use, with peak alterations anticipated in the first 2 days following administration. If MR imaging is required within 3 months after administration, use T1- or proton density-weighted MR pulse sequences to decrease effect on imaging. Do not use T2-weighted sequence MR imaging prior to 4 weeks following administration.



Serum iron and transferrin-bound iron may be overestimated in laboratory assays if level is drawn during the first 24 hours following administration (due to contribution of iron in ferumoxytol).

",
Anthrax Immune Globulin (Human) (Pediatric and Neonatal Lexi-Drugs),"Contains maltose; falsely elevated blood glucose levels may occur when glucose monitoring devices and test strips utilizing the glucose dehydrogenase pyrroloquinolinequinone (GDH-PQQ) or glucose-dye-oxidoreductase based methods are used. Glucose monitoring devices and test strips which utilize the glucose-specific method are recommended. Urinalysis after anthrax immune globulin administration may result in transiently elevated glucose; testing should be repeated to determine if action is warranted.



Passively transferred antibodies may yield false-positive serologic testing results; may yield false-positive direct and indirect Coombs’ test.

",
Omeprazole (Lexi-Drugs),"Omeprazole may falsely elevate serum chromogranin A (CgA) levels. The increased CgA level may cause false-positive results in the diagnosis of a neuroendocrine tumor. Temporarily stop omeprazole ≥14 days prior to assessing CgA level; repeat level if initially elevated; use the same laboratory for all testing of CgA levels.

","Prolonged treatment (≥2 years) may lead to malabsorption of dietary vitamin B12 and subsequent vitamin B12 deficiency (Lam, 2013).

"
Raxibacumab (Lexi-Drugs),,
Sarilumab (Lexi-Drugs),,
Streptozocin (Briggs Drugs in Pregnancy and Lactation),,
Ceftaroline Fosamil (Lexi-Drugs),,
Casimersen (Lexi-Drugs),"May interfere with detection of urine protein (false positive) when pyrogallol red reagent is used. Use a laboratory test that does not contain pyrogallol red reagent or use urine free of casimersen (eg, urine obtained prior to infusion or ≥48 hours after infusion).



",
Oxycodone and Acetaminophen (Lexi-Drugs),"See individual agents.

",
Fluorouracil (Topical) (Lexi-Drugs),,
Ibutilide (Lexi-Drugs),,
Elosulfase Alfa (Lexi-Drugs),,
Ceftolozane and Tazobactam (Lexi-Drugs),,
Fludarabine (Lexi-Drugs),,
Magnesium Chloride (Lexi-Drugs),,
Meperidine (Lexi-Drugs),"Increased amylase (S), increased BSP retention, increased CPK (IM injections)

",
Fluorescein and Benoxinate (Lexi-Drugs),,
Sugammadex (Lexi-Drugs),"May interfere with the serum progesterone assay; interaction may be observed for up to 30 minutes after a 16 mg/kg dose of sugammadex.

",
Streptozocin (Lexi-Drugs),,
Etoposide Phosphate (Lexi-Drugs),,
Propranolol (Lexi-Drugs),"May lead to false-positive aldosterone/renin ratio (ARR) (Funder 2016)

","Ethanol: Ethanol may increase or decrease plasma levels of propranolol. Reports are variable and have shown both enhanced as well as inhibited hepatic metabolism (of propranolol). Management: Caution advised with consumption of ethanol and monitor for heart rate and/or blood pressure changes.

Food: Propranolol serum levels may be increased if taken with food. Protein-rich foods may increase bioavailability; a change in diet from high carbohydrate/low protein to low carbohydrate/high protein may result in increased oral clearance. Management: Tablets (immediate release) should be taken on an empty stomach. Capsules (extended release) may be taken with or without food, but be consistent with regard to food.

"
Mannitol (Systemic) (Lexi-Drugs),"May cause false positive results for blood ethylene glycol concentrations. High mannitol concentrations may cause false low results for inorganic phosphorus blood concentrations if assay based on the conversion of phosphate (orthophosphate) to the phosphomolybdate complex is used.

",
Scopolamine (Pediatric and Neonatal Lexi-Drugs),"Interferes with gastric secretion test. Transdermal system should be discontinued ≥10 days prior to testing.

",
Treosulfan (Lexi-Drugs),,
Vindesine (Lexi-Drugs),,
Sincalide (Lexi-Drugs),,
Phenylephrine (Systemic) (Lexi-Drugs),,
Famotidine (Lexi-Drugs),,"Prolonged treatment (≥2 years) may lead to malabsorption of dietary vitamin B12 and subsequent vitamin B12 deficiency (Lam 2013).

"
,,
Methylcobalamin (Natural Products Database),,
Desmopressin (Lexi-Drugs),,
Eptinezumab (Lexi-Drugs),,
Antihemophilic Factor (Recombinant [Fc-VWF-XTEN Fusion Protein]) (Lexi-Drugs),,
Buprenorphine and Naloxone (Lexi-Drugs),,
Gadopentetate Dimeglumine (Lexi-Drugs),,
Fludarabine (Lexi-Drugs),,
DOBUTamine (Lexi-Drugs),,
Filgrastim (Lexi-Drugs),"May interfere with bone imaging studies; increased hematopoietic activity of the bone marrow may appear as transient positive bone imaging changes.

",
Furosemide (Lexi-Drugs),"May lead to false-negative aldosterone/renin ratio (ARR) (Funder 2016).

",
Aztreonam (Systemic) (Geriatric Lexi-Drugs),"May interfere with urine glucose tests containing cupric sulfate (Benedict's solution, Clinitest); positive Coombs' test

",
Atenolol (Lexi-Drugs),"Increased glucose; decreased HDL; may lead to false-positive aldosterone/renin ratio (ARR) (Funder 2016)

","Atenolol serum concentrations may be decreased if taken with food. Management: Administer without regard to meals.

"
Mepivacaine and Levonordefrin (Lexi-Drugs),,
Antihemophilic Factor (Recombinant [Pegylated]) (Lexi-Drugs),,
CeFAZolin (Lexi-Drugs),"Positive direct and indirect Coombs', false-positive urinary glucose test using glucose tests based on Benedict's copper reduction reaction, false- positive serum or urine creatinine with Jaffé reaction.



Some penicillin derivatives may accelerate the degradation of aminoglycosides in vitro, leading to a potential underestimation of aminoglycoside serum concentration.



",
IdaruCIZUmab (Lexi-Drugs),,
Bendamustine (Lexi-Drugs),,
Meperidine and Promethazine (Lexi-Drugs),,"Ethanol: Avoid ethanol (may increase CNS depression).

Herb/Nutraceutical: Avoid valerian, St John's wort, kava kava, gotu kola (may increase CNS depression).

"
Butorphanol (Lexi-Drugs),,
Aztreonam (Systemic) (Infectious Diseases),"May interfere with urine glucose tests containing cupric sulfate (Benedict's solution, Clinitest); positive Coombs' test

",
Ciprofloxacin and Hydrocortisone (Lexi-Drugs),"See individual agents.

",
Levobupivacaine [INT] (Lexi-Drugs International [Concise]),,
Aztreonam (Systemic) (Lexi-Drugs),"May interfere with urine glucose tests containing cupric sulfate (Benedict's solution, Clinitest); positive Coombs' test

",
Bumetanide (Lexi-Drugs),"May lead to false-negative aldosterone/renin ratio (ARR) (Funder 2016).

",
IDArubicin (Lexi-Drugs),,
Tenecteplase (Lexi-Drugs),"Altered results of coagulation and fibrinolytic activity tests

",
Caspofungin (Lexi-Drugs),,
Anifrolumab (Lexi-Drugs),,
Clevidipine (Geriatric Lexi-Drugs),"May lead to false-negative aldosterone/renin ratio (ARR) (Funder 2016).



",
Copanlisib (Lexi-Drugs),,"Grapefruit juice may increase serum copanlisib levels.

"
Ketorolac (Nasal) (Lexi-Drugs),,
Antihemophilic Factor (Recombinant) (Lexi-Drugs),,
Olaratumab (Lexi-Drugs),,
Digoxin Immune Fab (Lexi-Drugs),"Digoxin immune fab may interfere with digitalis immunoassay measurements, thereby resulting in clinically misleading total serum digoxin concentrations until all Fab fragments are eliminated from the body (may take several days to >1 week after administration). Digoxin serum samples should be obtained before digoxin immune fab administration, if possible.

",
Ketamine (Lexi-Drugs),"May interfere with urine detection of phencyclidine (false-positive).

",
Digoxin Toxicity (Patient Education - Disease and Procedure),,
DexAMETHasone (Systemic) (Lexi-Drugs),"May suppress the wheal and flare reactions to skin test antigens

",
Doxercalciferol (Lexi-Drugs),,
Acetaminophen (Lexi-Drugs),"Acetaminophen may cause false-positive urinary 5-hydroxyindoleacetic acid.

","Rate of absorption may be decreased when given with food. Management: Administer without regard to food.

"
Nalbuphine (Lexi-Drugs),"May interfere with certain enzymatic methods used to detect opioids, depending on sensitivity and specificity of the test (refer to test manufacturer for details)

",
Sildenafil (Lexi-Drugs),,"Grapefruit juice may increase serum levels/toxicity of orally administered sildenafil. Management: Monitor for increased effects/toxicity with concomitant oral use.

"
Gadobutrol (Lexi-Drugs),,
Methotrexate (Lexi-Drugs),,"Methotrexate peak serum levels may be decreased if taken with food. Management: Administer without regard to food.

"
Pertuzumab (Lexi-Drugs),,
Colistimethate (Pediatric and Neonatal Lexi-Drugs),,
Imiglucerase (Lexi-Drugs),,
Dolasetron (Geriatric Lexi-Drugs),,
Lansoprazole (Lexi-Drugs),,"Prolonged treatment (≥2 years) may lead to malabsorption of dietary vitamin B12 and subsequent vitamin B12 deficiency (Lam 2013).

"
Smallpox and Monkeypox Vaccine (Live) (Lexi-Drugs),,
Hydrocortisone (Systemic) (Lexi-Drugs),"May decrease response to skin tests

",
Centruroides Immune F(ab’)2 (Equine) (Lexi-Drugs),,
Ciprofloxacin (Systemic) (Lexi-Drugs),"Some quinolones may produce a false-positive urine screening result for opioids using commercially-available immunoassay kits. This has been demonstrated most consistently for levofloxacin and ofloxacin, but other quinolones have shown cross-reactivity in certain assay kits. Confirmation of positive opioid screens by more specific methods should be considered.

","Food decreases rate, but not extent, of absorption. Ciprofloxacin may increase serum caffeine levels if taken concurrently. Rarely, crystalluria may occur. Enteral feedings may decrease plasma concentrations of ciprofloxacin probably by >30% inhibition of absorption. Management: May administer with most foods to minimize GI upset. If unable to avoid the following foods, administer ciprofloxacin at least 2 hours before or 6 hours after dairy products or calcium-fortified juices alone or in a meal containing >800 mg calcium. Restrict caffeine intake if excessive cardiac or CNS stimulation occurs. Ensure adequate hydration during therapy. Ciprofloxacin should not be administered with enteral feedings. The feeding would need to be discontinued for 1 to 2 hours prior to and after ciprofloxacin administration. Nasogastric administration produces a greater loss of ciprofloxacin bioavailability than does nasoduodenal administration.

"
LORazepam (Lexi-Drugs),,
Tacrolimus (Topical) (Lexi-Drugs),,
Etelcalcetide (Lexi-Drugs),,
Tafasitamab (Lexi-Drugs),,
Vitamins (Multiple/Oral) (Lexi-Drugs),"Ascorbic acid in the urine can cause false-negative urine glucose determinations.

Biotin can significantly interfere with certain lab tests and cause incorrect test results that may go undetected, possibly leading to inappropriate patient management or misdiagnosis (FDA Safety Communication 2017).

","Iron absorption is inhibited by eggs and milk.

"
Cefotaxime (Briggs Drugs in Pregnancy and Lactation),,
Iron Sucrose (Lexi-Drugs),,
Danaparoid (Lexi-Drugs),"PT/INR, when measuring coumarin derivative activity, is not reliable within 5 hours following danaparoid administration.

",
Gadofosveset (Lexi-Drugs),,
Sodium Glycerophosphate Pentahydrate (Lexi-Drugs),,
Tagraxofusp (Lexi-Drugs),,
Amivantamab (Lexi-Drugs),,
Evinacumab (Lexi-Drugs),,
Amsacrine (Lexi-Drugs),,
Lidocaine and Tetracaine (Lexi-Drugs),,
CARBOplatin (Lexi-Drugs),,
Enalaprilat (Lexi-Drugs),"May lead to false-negative aldosterone/renin ratio (ARR) (Funder 2016).

",
Ketorolac (Systemic) (Lexi-Drugs),"May lead to false-positive aldosterone/renin ratio (ARR) (Funder 2016)

","High-fat meals may delay time to peak (by ~1 hour) and decrease peak concentrations. Management: Administer tablet with food or milk to decrease gastrointestinal distress.

"
Acetaminophen and Diphenhydramine (Lexi-Drugs),"See individual agents.

",
Insulin NPH (Pediatric and Neonatal Lexi-Drugs),,
Crotalidae Polyvalent Immune FAB (Ovine) (Lexi-Drugs),,
C1 Inhibitor (Human) (Lexi-Drugs),,
DAUNOrubicin (Liposomal) (Lexi-Drugs),,
Magnesium Sulfate (Lexi-Drugs),,"Increased alcohol intake can deplete magnesium stores (IOM, 1997).

"
Cyanocobalamin (Lexi-Drugs),"Methotrexate, pyrimethamine, and most antibiotics invalidate folic acid and vitamin B12 diagnostic blood assays

","

Heavy ethanol consumption >2 weeks may impair vitamin B12 absorption.

"
Difelikefalin (Lexi-Drugs),,
Fluorouracil (Systemic) (Lexi-Drugs),,
Codeine (Lexi-Drugs),"Some quinolones may produce a false-positive urine screening result for opioids using commercially-available immunoassay kits. This has been demonstrated most consistently for levofloxacin and ofloxacin, but other quinolones have shown cross-reactivity in certain assay kits. Confirmation of positive opioid screens by more specific methods should be considered.

",
Diatrizoate Meglumine (Lexi-Drugs),"Urine specimen assay: Contrast agent instillation into the bladder may interfere with urine specimen assay; collect urine prior to or at least 2 days after contrast administration.

",
Blinatumomab (Lexi-Drugs),,
Cefotaxime (Pediatric and Neonatal Lexi-Drugs),"Positive direct Coombs', false-positive urinary glucose test using cupric sulfate (Benedict's solution, Clinitest®, Fehling's solution), false- positive serum or urine creatinine with Jaffé reaction

",
Haloperidol (Lexi-Drugs),,
Sodium Chloride (Lexi-Drugs),,
Smallpox Vaccine Live (Lexi-Drugs),"Rapid plasma reagin (RPR) test: Smallpox vaccine may induce false-positive RPR test for syphilis; confirm positive RPR test using a more specific test (eg, FTA assay).



Tuberculin skin (PPD) and blood tests: Smallpox vaccine may diminish the diagnostic utility of tuberculin skin (PPD) and blood tests; avoid skin test for ≥1 month after vaccine to prevent false-negative results.

",
Ceftolozane and Tazobactam (Geriatric Lexi-Drugs),,
Bretylium (Lexi-Drugs),,
Clodronate (Lexi-Drugs),"Bisphosphonates may interfere with diagnostic imaging agents such as technetium-99m-diphosphonate in bone scans. Some studies suggest that clodronate may not interfere with radiopharmaceutical bone imaging (Pecherstorfer 1993).

","All food and beverages may interfere with absorption. Coadministration with dairy products may decrease absorption. Beverages (especially orange juice and coffee), food, and medications (eg, antacids, calcium, iron, and multivalent cations) may reduce the absorption of bisphosphonates as much as 60%. Management: Administer with a glass of plain water at least 2 hours (Bonefos) or 1 hour (Clasteon) before or after food.



"
Vernakalant (Lexi-Drugs),,
Choline C 11 (Lexi-Drugs),,
Folic Acid (Lexi-Drugs),"Falsely low serum concentrations may occur with the Lactobacillus casei assay method in patients on anti-infectives (eg, tetracycline)

",
Mycophenolate (Pediatric and Neonatal Lexi-Drugs),,"Food decreases Cmax of MPA by 40% following mycophenolate mofetil (CellCept) administration and 33% following mycophenolate sodium (Myfortic) use; the extent of absorption is not changed. Management: Take mycophenolate mofetil or mycophenolate sodium on an empty stomach to decrease variability; however, mycophenolate mofetil may be taken with food if necessary in stable renal transplant recipients.

"
Enfortumab Vedotin (Lexi-Drugs),,
Comparison of Prothrombin Complex Concentrates (Lexi-Drugs),,
Nalmefene (Lexi-Drugs),,
Clindamycin and Benzoyl Peroxide (Pediatric and Neonatal Lexi-Drugs),,
"Sodium Sulfate, Magnesium Sulfate, and Potassium Chloride (Lexi-Drugs)",,
Aztreonam (Oral Inhalation) (Geriatric Lexi-Drugs),,
Daunorubicin and Cytarabine (Liposomal) (Lexi-Drugs),,
Betamethasone and Clotrimazole (Lexi-Drugs),"See individual agents.

",
Temozolomide-Rituximab (CNS Lymphoma) (Lexi-Drugs),,
Methyldopa and Hydrochlorothiazide (Lexi-Drugs),"See individual agents.

",
Vancomycin (Lexi-Drugs),,
Belimumab (Lexi-Drugs),,
PACLitaxel (Conventional) (Lexi-Drugs),,
DOXOrubicin (Conventional) (Lexi-Drugs),,
Vonoprazan and Amoxicillin (Lexi-Drugs),,
Orphenadrine (Lexi-Drugs),,
Acyclovir (Topical) (Lexi-Drugs),,
Phenylephrine and Ketorolac (Lexi-Drugs),,
Aminocaproic Acid (Lexi-Drugs),,
Lurbinectedin (Lexi-Drugs),,
Tigecycline (Lexi-Drugs),,
Oxacillin (Lexi-Drugs),"May interfere with urinary glucose tests using cupric sulfate (Benedict's solution, Clinitest®); may inactivate aminoglycosides in vitro; false- positive urinary and serum proteins

",
Phenylephrine (Nasal) (Lexi-Drugs),,
Tobramycin and Dexamethasone (Lexi-Drugs),,
"Chlorpheniramine, Pseudoephedrine, and Dextromethorphan (Lexi-Drugs)","See individual agents.

",
CefoTEtan (Lexi-Drugs),"Positive direct Coombs'. False-positive urinary glucose test using cupric sulfate (Benedict's solution, Clinitest, Fehling's solution); use test based on enzymatic glucose oxidase. May cause false-positive serum or urine creatinine with Jaffé reaction

","Concurrent use with ethanol may cause a disulfiram-like reaction. Management: Monitor patients.

"
Sacituzumab Govitecan (Lexi-Drugs),,
Ethacrynic Acid (Lexi-Drugs),"May lead to false-negative aldosterone/renin ratio (ARR) (Funder 2016).

",
Eteplirsen (Lexi-Drugs),,
"Estrogens (Conjugated/Equine, Systemic) (Lexi-Drugs)","The use of estrogens and/or progestogens may alter the results of some laboratory tests (eg, coagulation factors, lipids, glucose tolerance, thyroxine-binding globulin, sex hormone–binding globulin, cortisol-binding globulin).

","Folic acid absorption may be decreased.

"
Cidofovir (Lexi-Drugs),,
Ado-Trastuzumab Emtansine (Lexi-Drugs),,
Pamidronate (Lexi-Drugs),"Bisphosphonates may interfere with diagnostic imaging agents such as technetium-99m-diphosphonate in bone scans.

",
Golimumab (Lexi-Drugs),,
Gadopiclenol (Lexi-Drugs),,
Melphalan (Lexi-Drugs),"False-positive Coombs' test [direct]

","Food interferes with oral absorption. Management: Administer on an empty stomach.

"
"Benzocaine, Butamben, and Tetracaine (Lexi-Drugs)",,
Buprenorphine (Pediatric and Neonatal Lexi-Drugs),,
DOXOrubicin (Liposomal) (Lexi-Drugs),,
Tranexamic Acid (Lexi-Drugs),,
Factor X (Human) (Lexi-Drugs),,
Indomethacin (Lexi-Drugs),"False-negative dexamethasone suppression test; may lead to false-positive aldosterone/renin ratio (ARR) (Funder 2016)

","Food may decrease the rate but not the extent of absorption. Indomethacin peak serum levels may be delayed if taken with food. Management: Administer with food or milk to minimize GI upset.

"
ChlorproMAZINE (Lexi-Drugs),"False-positives for phenylketonuria, amylase, uroporphyrins, urobilinogen. May cause false-positive pregnancy test. May interfere with urine detection of amphetamine/methamphetamine and methadone (false-positives).

",
Azithromycin (Ophthalmic) (Lexi-Drugs),,
Angiotensin II (Lexi-Drugs),,
Mannitol (Oral Inhalation) (Lexi-Drugs),,
Benztropine (Geriatric Lexi-Drugs),,
Ampicillin (Lexi-Drugs),"May interfere with urinary glucose tests using cupric sulfate (Benedict's solution, Clinitest®)



Some penicillin derivatives may accelerate the degradation of aminoglycosides in vitro, leading to a potential underestimation of aminoglycoside serum concentration.

","Food decreases ampicillin absorption rate; may decrease ampicillin serum concentration. Management: Take at equal intervals around-the- clock, preferably on an empty stomach (30 minutes before or 2 hours after meals). Maintain adequate hydration, unless instructed to restrict fluid intake.

"
Flucytosine (Lexi-Drugs),"Flucytosine causes markedly false elevations in serum creatinine values when the Ektachem® analyzer is used. The Jaffé reaction is recommended for determining serum creatinine.

","Food decreases the rate, but not the extent of absorption.

"
Bezlotoxumab (Lexi-Drugs),,
Selenium Sulfide (Lexi-Drugs),,
Hyaluronidase (Lexi-Drugs),,
Carboplatin-Paclitaxel (NSCLC) (Lexi-Drugs),,
Tetracaine (Ophthalmic) (Lexi-Drugs),,
Epoetin Alfa (Lexi-Drugs),"HbA1c: Erythropoiesis-stimulating agents may artificially lower HbA1c through increased circulation of immature erythrocytes in the peripheral blood stream that have less exposure to glucose (Kobayashi 2016; Rasche 2017).



",
Vancomycin (Lexi-Drugs),,
Mechlorethamine (Systemic) (Lexi-Drugs),,
DilTIAZem (Lexi-Drugs),,"Grapefruit juice may increase the serum concentration of diltiazem. Management: Monitor response to diltiazem with concurrent use.

"
Moxifloxacin (Systemic) (Lexi-Drugs),"Some quinolones may produce a false-positive urine screening result for opioids using commercially-available immunoassay kits. This has been demonstrated most consistently for levofloxacin and ofloxacin, but other quinolones have shown cross-reactivity in certain assay kits. Confirmation of positive opioid screens by more specific methods should be considered.

","Absorption is not affected by administration with a high-fat meal or yogurt.

"
MethylPREDNISolone (Lexi-Drugs),"Decreased response to skin tests

",
Antihemophilic Factor (Human) (Lexi-Drugs),,
Mirvetuximab Soravtansine (Lexi-Drugs),,
Carbetocin (Lexi-Drugs),,
Cloxacillin (Lexi-Drugs),"May interfere with urinary glucose tests using cupric sulfate (Benedict's solution, Clinitest); may inactivate aminoglycosides in vitro; false- positive urine and serum proteins; false-positive in uric acid, urinary steroids

","Food decreases cloxacillin absorption; serum levels are reduced by ~50%. Management: Administer with water on an empty stomach 1 hour before or 2 hours after meals.

"
Carmustine (Lexi-Drugs),,
"Ibuprofen, Phenylephrine, and Chlorpheniramine (Lexi-Drugs)",,
"Atoltivimab, Maftivimab, and Odesivimab (Lexi-Drugs)",,
AzaTHIOprine (Lexi-Drugs),"TPMT phenotyping results may not be accurate following recent blood transfusions.

",
Bromhexine [INT] (Lexi-Drugs International [Concise]),,
Axicabtagene Ciloleucel (Lexi-Drugs),,
Insulin Aspart Protamine and Insulin Aspart (Lexi-Drugs),,
Insulin Detemir (Lexi-Drugs),,
HydrALAZINE (Lexi-Drugs),,"Food enhances bioavailability of hydralazine. Management: Administer without regard to food, but keep consistent.

"
"Orphenadrine, Aspirin, and Caffeine (Lexi-Drugs)",,
Gadopentetate Dimeglumine (Briggs Drugs in Pregnancy and Lactation),,
Fluorescein (Lexi-Drugs),,
Diazoxide (Lexi-Drugs),"Serum renin concentrations and IgG concentrations may be increased. Serum cortisol concentrations may be decreased. May cause a false- negative insulin response to glucagon.

",
FentaNYL (Lexi-Drugs),,
,,
Bortezomib (Lexi-Drugs),,
Caplacizumab (Lexi-Drugs),,
Capmatinib (Lexi-Drugs),,
Pafolacianine (Lexi-Drugs),,"Folic acid may reduce binding of pafolacianine to folate receptors on ovarian cancer cells and may interfere with the detection of cancer tissue when using pafolacianine. Management: Discontinue folate, folic acid, or folate-containing supplements 48 hours prior to pafolacianine administration.

"
Dostarlimab (Lexi-Drugs),,
Glycopyrrolate (Systemic) (Lexi-Drugs),,"

Administration with a high-fat meal significantly reduced absorption. Management: Administer at least 1 hour before or 2 hours after meals.

"
Etoposide (Lexi-Drugs),,
Adenosine (Lexi-Drugs),,
Norepinephrine (Lexi-Drugs),,
Melphalan (Briggs Drugs in Pregnancy and Lactation),,
DOXOrubicin (Liposomal) (Lexi-Drugs),,
Minocycline (Topical) (Lexi-Drugs),"May cause interference with fluorescence test for urinary catecholamines (false elevations).

",
Tremelimumab (Lexi-Drugs),,
Cimetidine (Lexi-Drugs),,"Prolonged treatment (≥2 years) may lead to malabsorption of dietary vitamin B12 and subsequent vitamin B12 deficiency (Lam 2013).

"
Copanlisib (Lexi-Drugs),,"Grapefruit juice may increase serum copanlisib levels.

"
 ,"Refer to individual agents.

","Alcoholic beverages or ethanol-containing products may disrupt extended-release formulation resulting in rapid release of entire morphine dose. Management: Avoid ethanol.

"
Dextromethorphan and Chlorpheniramine (Lexi-Drugs),"See individual agents.

",
MT-RNR1 - Kanamycin (Pharmacogenomics),,
,,
Ofloxacin (Systemic) (Lexi-Drugs),"Some quinolones may produce a false-positive urine screening result for opioids using commercially-available immunoassay kits. This has been demonstrated most consistently for levofloxacin and ofloxacin, but other quinolones have shown cross-reactivity in certain assay kits. Confirmation of positive opioid screens by more specific methods should be considered.

",
Alpha1-Proteinase Inhibitor (Lexi-Drugs),,
Alcohol (Ethyl) (Lexi-Drugs),,
Brentuximab Vedotin (Lexi-Drugs),,
Lutetium Lu 177 Vipivotide Tetraxetan (Lexi-Drugs),,
"Methylfolate, Methylcobalamin, and Acetylcysteine (Lexi-Drugs)",,
Trabectedin (Lexi-Drugs),,
Mechlorethamine (Topical) (Lexi-Drugs),,
,"Thyroid function tests (protein bound and radioactive iodine uptake studies) may be inaccurate for up to 16 days after administration; may cause false positive urine protein test using Multistix; may affect urine specific gravity

",
DroPERidol (Lexi-Drugs),,
PACLitaxel (Protein Bound) (Lexi-Drugs),,"Paclitaxel (protein bound) serum concentrations may be increased when taken with grapefruit or grapefruit juice. Management: Monitor for increased effects/toxicity with concomitant use.

"
Ustekinumab (Lexi-Drugs),,
Argatroban (Lexi-Drugs),"Argatroban may elevate PT/INR levels in the absence of warfarin. If warfarin is started, initial PT/INR goals while on argatroban may require modification. The American College of Chest Physicians suggests monitoring chromogenic factor X assay when transitioning from argatroban to warfarin (Garcia, 2012) or overlapping administration of warfarin for a minimum of 5 days until INR is within target range; recheck INR after anticoagulant effect of argatroban has dissipated (Guyatt, 2012). Factor Xa levels <45% have been associated with INR values >2 after the effects of argatroban have been eliminated (Arpino, 2005).

",
Vestronidase Alfa (Lexi-Drugs),,
Betibeglogene Autotemcel (Pediatric and Neonatal Lexi-Drugs),"Patients who have received betibeglogene autotemcel are likely to test positive by polymerase chain reaction (PCR) assays for HIV due to integrated BB305 LVV proviral DNA, resulting in a false-positive test for HIV; patients who have received betibeglogene autotemcel should not be screened for HIV infection using a PCR-based assay.

",
,,
Copper Cu 64 Dotatate (Lexi-Drugs),,
Diphenhydramine and Ibuprofen (Lexi-Drugs),,"See individual agents.

"
Abciximab (Lexi-Drugs),,
Calcium Gluconate (Lexi-Drugs),"IV administration may produce falsely decreased serum and urine magnesium concentrations

",
Ferric Pyrophosphate Citrate (Lexi-Drugs),,
Ticarcillin and Clavulanate Potassium (Infectious Diseases),"Positive Coombs' test, false-positive urinary proteins

Some penicillin derivatives may accelerate the degradation of aminoglycosides in vitro, leading to a potential underestimation of aminoglycoside serum concentration.

",
Teprotumumab (Lexi-Drugs),,
Hydrocortisone (Topical) (Lexi-Drugs),,
Lidocaine and Prilocaine (Lexi-Drugs),,
Cytarabine (Conventional) (Lexi-Drugs),,
Celecoxib and Tramadol (Lexi-Drugs),,
Fosdenopterin (Lexi-Drugs),,
Galsulfase (Lexi-Drugs),,
Terbutaline (Lexi-Drugs),,
"Estrogens (Conjugated/Equine, Topical) (Lexi-Drugs)","Reduced response to metyrapone test.

",
Fomepizole (Lexi-Drugs),,
